DrugName,Exclude,Reason
Abemaciclib,y,
acalabrutinib,y,
Adcal-D3,y,
Akynzeo,y,
antihistamine,y,
APIXABAN,y,
APREPITANT,y,
area around the navel.,y,
Atropine Sulfate,y,
Axitinib,y,
Bonjela,y,
Buscopan,y,
Capivasertib,y,
CEMIPLIMAB,y,
CHLORPHENAMINE,y,
Co-trimoxazole,y,
DARATUMUMAB,y,
darolutamide,y,
DEXAMETHASONE,y,
Dioralyte,y,
ELTROMBOPAG OLAMINE,y,
Enoxaparin,y,
Epimax original,y,
EPIRUBICIN HYDROCHLORIDE,y,
Eurax,y,
Famotidine,y,
Ferrous Sulfate,y,
fluticasone,y,
folic acid,y,
FRUQUINTINIB,y,
FULVESTRANT,y,
FUROSEMIDE,y,
H2 Antagonist - Availability and choice,y,
HYDROCORTISONE (AS SODIUM SUCCINATE),y,
HYDROCORTISONE NA SUCCINATE,y,
Hydroxocobalamin,y,
IMMUNOGLOBULIN HUMAN NORMAL,y,
Ixazomib,y,
LENALIDOMIDE,y,
LOPERAMIDE,y,
LORAZEPAM,y,
MAGNESIUM SULPHATE,y,
menthol in aqueous cream,y,
MESNA,y,
METHYLPREDNISOLONE (AS SODIUM SUCCINATE),y,
METOCLOPRAMIDE,y,
Montelukast,y,
Naseptin,y,
netupitant and palonosetron,y,
octreotide,y,
ONDANSETRON,y,
Oxetacaine,y,
Pamidronate,y,
PARACETAMOL,y,
PEMBROLIZUMAB,y,
Peppermint oil,y,
PETHIDINE,y,
PHESGO 1200mg/600mg (LOADING DOSE),y,
PHESGO 600mg/600mg (Maintenance),y,
Phosphate sandoz,y,
POMALIDOMIDE,y,
RETACRIT,y,
RIBOCICLIB,y,
SALBUTAMOL,y,
single administration site).,y,
SODIUM CHLORIDE 0.9%,y,
taurolidine citrate,y,
Tocalizumab,y,
TUCATINIB,y,
Venetoclax,y,
Warning - Check if Antihistamine Taken,y,
Warning - Check if the Dexamethasone Taken,y,
Warning - Check if the Paracetamol Taken,y,
Warning-Check supportive medication has been taken,y,
ZANUBRUTINIB,y,
ZOLEDRONIC ACID,y,
Zomorph,y,
